Customer_ID,Contract,Tenure_in_Months,Monthly_Charge,Churn_Risk_Score
71689-PUN,Month-to-Month,19,43.95,0.9377115384606239
12136-RAJ,Month-to-Month,35,19.9,0.9374100247091294
82118-JAM,Month-to-Month,6,24.2,0.9369691662789094
65531-MAH,Month-to-Month,22,19.8,0.9367605009589469
74033-ASS,Month-to-Month,20,25.25,0.9360820493073064
77230-RAJ,Month-to-Month,4,19.65,0.9357586039553915
61025-MAH,Month-to-Month,16,49.85,0.9353984920950218
16733-ODI,Month-to-Month,1,45.85,0.9352757271591088
46865-PUN,Month-to-Month,1,79.45,0.9346820654943128
53350-TEL,Month-to-Month,22,74.5,0.934098549243404
23078-UTT,Month-to-Month,24,20.3,0.9339080270061108
81235-JHA,Month-to-Month,32,44.9,0.9338375764840934
72357-MAD,Month-to-Month,12,44.3,0.9336541397817086
74518-ODI,Month-to-Month,13,44.45,0.933393602688945
48939-BIH,Month-to-Month,6,49.95,0.9331219412420692
71210-WES,Month-to-Month,28,19.85,0.931942472876296
94305-KAR,Month-to-Month,18,19.75,0.9319285857686591
49304-KAR,Month-to-Month,33,49.8,0.9318716320159238
35635-TEL,Month-to-Month,5,20.4,0.931765697349919
26902-TEL,Month-to-Month,2,95.85,0.9317582362809855
22765-MAH,Month-to-Month,16,19.45,0.9312396899326473
19539-PUN,Month-to-Month,8,45.4,0.9311539646797725
86362-ASS,Month-to-Month,11,74.3,0.9309730422486792
97497-RAJ,Month-to-Month,8,49.9,0.9308611198273995
94243-TAM,Month-to-Month,15,19.9,0.9306791687686865
35658-JHA,Month-to-Month,16,20.45,0.9299478711109481
63487-MAH,Month-to-Month,34,44.75,0.929849078566026
29093-ASS,Month-to-Month,6,20.45,0.9297986759370934
56728-RAJ,Month-to-Month,1,45.6,0.9284693695778857
53449-MAH,Month-to-Month,17,19.9,0.9284367447079256
36483-KAR,Month-to-Month,14,19.75,0.9282942720670494
13058-MAD,Month-to-Month,22,46.1,0.9280065404772319
48018-RAJ,Month-to-Month,14,19.55,0.9277455613685079
21065-HAR,Month-to-Month,10,20.3,0.9276918300940603
86289-UTT,Month-to-Month,27,20.3,0.9275828032455358
15349-UTT,Month-to-Month,12,50.15,0.927368204567339
73044-KAR,Month-to-Month,5,74.6,0.9273203810297169
27461-MAD,Month-to-Month,6,44.55,0.926680758069986
19898-HAR,Month-to-Month,30,19.45,0.9266418355273154
66413-TAM,Month-to-Month,4,80.5,0.9257794423279085
67752-MAH,Month-to-Month,24,45.3,0.9257206602332008
77678-JHA,Month-to-Month,29,49.55,0.9256781006550221
99862-BIH,Month-to-Month,9,74.0,0.9255773519608222
24696-BIH,Month-to-Month,20,43.95,0.9253499753932579
36017-TAM,Month-to-Month,23,19.55,0.9251206104463091
47133-ODI,Month-to-Month,8,44.6,0.9248989431317562
61474-TEL,Month-to-Month,17,20.35,0.924295935546992
86970-KER,Month-to-Month,9,49.5,0.9240903112841559
72391-UTT,Month-to-Month,7,35.0,0.9238840041848039
88215-KAR,Month-to-Month,10,50.05,0.9236238024583662
47737-UTT,Month-to-Month,25,19.65,0.9226738014433755
13744-AND,Month-to-Month,3,19.65,0.9212623824982832
42768-TAM,Month-to-Month,14,19.4,0.9210843678660554
17796-BIH,Month-to-Month,1,48.45,0.9206137572054403
47611-WES,Month-to-Month,31,55.25,0.9201900871322467
15803-UTT,Month-to-Month,31,19.15,0.9197186773230502
45672-TAM,Month-to-Month,2,20.2,0.919380675995922
27553-UTT,Month-to-Month,18,20.3,0.919145886162262
83486-MAH,Month-to-Month,4,75.35,0.9186493160380669
89188-KAR,Month-to-Month,9,20.55,0.9184574341938934
77658-AND,Month-to-Month,4,24.4,0.9183702199960442
18415-KAR,Month-to-Month,36,19.1,0.9180352977361201
28398-TEL,Month-to-Month,23,20.0,0.9175502408153885
16068-BIH,Month-to-Month,25,25.25,0.9175085551679634
28237-JHA,Month-to-Month,9,69.85,0.9168911907346742
23855-MAH,Month-to-Month,9,44.9,0.9162907643854593
43877-PUN,Month-to-Month,3,60.85,0.9160833960277363
52695-UTT,Month-to-Month,34,20.35,0.9155733287072104
56554-RAJ,Month-to-Month,11,19.75,0.9146485679541634
31476-TEL,Month-to-Month,33,19.95,0.9141158956053975
92527-KAR,Month-to-Month,16,20.05,0.9137317420463662
81098-GUJ,Month-to-Month,11,51.25,0.9134867724235852
38748-AND,Month-to-Month,6,19.65,0.9133878002704904
41795-UTT,Month-to-Month,10,19.75,0.9132023865845271
81169-TEL,Month-to-Month,2,18.85,0.912516341547294
19541-ODI,Month-to-Month,14,45.25,0.9122629666608644
92198-DEL,Month-to-Month,15,20.25,0.9122331499517723
58848-PUN,Month-to-Month,18,49.8,0.912151293065084
98788-TAM,Month-to-Month,16,20.05,0.9118170475851216
85917-TAM,Month-to-Month,15,19.5,0.9116462937837543
54564-AND,Month-to-Month,7,76.1,0.9115390475834791
54598-TAM,Month-to-Month,32,19.75,0.9114460582301844
22119-WES,Month-to-Month,5,20.05,0.9094172677116791
27856-UTT,Month-to-Month,32,19.25,0.9092516539351
38577-BIH,Month-to-Month,36,44.5,0.9091242828182836
47492-AND,Month-to-Month,24,20.15,0.9089401190970628
58974-MAD,Month-to-Month,14,20.3,0.9088822559428141
44709-WES,Month-to-Month,17,30.75,0.9088652321934546
54195-MAH,Month-to-Month,23,19.75,0.9086151235619311
75802-MAH,Month-to-Month,3,20.05,0.9084898650182254
34319-UTT,Month-to-Month,25,50.15,0.9076561219473543
18027-UTT,Month-to-Month,30,19.9,0.9066580303810118
41427-HAR,Month-to-Month,13,20.2,0.9065596503016438
13823-TEL,Month-to-Month,28,24.5,0.9057503609880658
13946-HAR,Month-to-Month,3,19.65,0.9057090512776695
78885-TAM,Month-to-Month,5,19.5,0.9056542739726694
81763-DEL,Month-to-Month,7,80.45,0.9056532280813815
21247-ASS,Month-to-Month,2,19.5,0.9054779430935955
51597-MAD,Month-to-Month,18,19.9,0.9046723825809244
96430-PUN,Month-to-Month,23,48.75,0.9042924515671273
12257-ASS,Month-to-Month,1,19.55,0.9042355968821744
17597-HAR,Month-to-Month,6,29.85,0.9039806162963339
39866-MAH,Month-to-Month,12,45.55,0.9035393850159374
31601-DEL,Month-to-Month,10,19.65,0.9031275256930019
42864-ODI,Month-to-Month,10,30.25,0.9025315104575776
32966-HAR,Month-to-Month,7,19.2,0.9024610831076537
12340-DEL,Month-to-Month,10,62.8,0.9019381806736313
76419-KAR,Month-to-Month,28,94.9,0.90097212727139
82427-MAH,Month-to-Month,28,19.55,0.9004509190842297
28239-UTT,Month-to-Month,5,19.95,0.898927797443082
83817-UTT,Month-to-Month,18,21.05,0.8979580819168257
29371-WES,Month-to-Month,9,55.3,0.8977452708277066
23729-UTT,Month-to-Month,19,19.65,0.8976168658938021
14567-TAM,Month-to-Month,9,20.35,0.8968872735861275
77311-MAD,Month-to-Month,19,20.25,0.8964201327297601
99475-KAR,Month-to-Month,11,51.55,0.8961877245993253
52279-TAM,Month-to-Month,26,80.7,0.8957322310640632
46190-GUJ,Month-to-Month,36,55.55,0.894227418198534
38452-MAH,Month-to-Month,14,47.95,0.8941135082478221
61331-UTT,Month-to-Month,10,50.75,0.8937627076129673
97828-MAH,Month-to-Month,12,92.0,0.8925906760030633
17250-HAR,Month-to-Month,2,49.25,0.8925428898591142
43920-RAJ,Month-to-Month,3,49.9,0.8924903868380788
53764-WES,Month-to-Month,23,24.9,0.8916706777172103
66712-GUJ,Month-to-Month,33,84.3,0.8913792180596213
39540-BIH,Month-to-Month,13,49.05,0.8909895222828622
15591-KAR,Month-to-Month,31,20.4,0.8905899253022812
78978-UTT,Month-to-Month,13,19.3,0.8902932992006434
77688-TAM,Month-to-Month,13,49.0,0.888870577855213
85027-KAR,Month-to-Month,27,19.75,0.888215014848016
33776-BIH,Month-to-Month,10,19.2,0.8873860627436231
84613-BIH,Month-to-Month,22,79.15,0.8871398892909821
56256-UTT,Month-to-Month,15,70.3,0.8865017612703504
71564-KAR,Month-to-Month,5,19.05,0.8862953984685749
99996-HAR,Month-to-Month,8,53.55,0.884528426142896
23683-TEL,Month-to-Month,16,20.25,0.8844800806567295
58044-KAR,Month-to-Month,13,20.35,0.8844509200388202
86369-BIH,Month-to-Month,2,54.3,0.8826334928004272
93700-MAH,Month-to-Month,20,50.7,0.8820183968826263
32587-UTT,Month-to-Month,27,45.45,0.8815752912763596
38663-UTT,Month-to-Month,15,20.3,0.8805087061549379
28378-MAD,Month-to-Month,1,19.45,0.8801904265651225
26412-ASS,Month-to-Month,18,20.7,0.8794885568563624
32063-UTT,Month-to-Month,31,19.0,0.8793438745722415
45038-BIH,Month-to-Month,14,74.55,0.8781501559959325
98767-WES,Month-to-Month,7,20.05,0.8780221229807896
67941-PUN,Month-to-Month,13,54.15,0.8777807210828288
99488-KAR,Month-to-Month,31,24.4,0.8767605565360409
79905-UTT,Month-to-Month,12,20.45,0.8764686965267318
23605-MAH,Month-to-Month,19,20.75,0.876347458783379
64327-AND,Month-to-Month,9,20.65,0.8740146933255185
72469-MAD,Month-to-Month,9,55.7,0.8728074349590632
83994-DEL,Month-to-Month,24,90.7,0.8726560330048087
32375-UTT,Month-to-Month,3,20.9,0.871628781969002
84577-TEL,Month-to-Month,29,59.0,0.871498635917252
23632-HAR,Month-to-Month,16,97.1,0.8714725016544226
42574-ASS,Month-to-Month,3,19.55,0.8706946172813173
89154-RAJ,Month-to-Month,3,49.2,0.8704270736398925
53815-BIH,Month-to-Month,4,19.7,0.8703352328439038
12056-WES,Month-to-Month,20,90.4,0.8696157591230781
91835-GUJ,Month-to-Month,5,75.5,0.8693338969372545
56460-MAH,Month-to-Month,23,0.0,0.869205442623547
16244-UTT,Month-to-Month,7,19.55,0.8691531565364111
11751-TAM,Month-to-Month,7,24.3,0.8687500281544368
93521-MAH,Month-to-Month,35,0.0,0.8684022759654213
97615-MAH,Month-to-Month,10,20.2,0.8672837763423235
18015-ODI,Month-to-Month,9,49.9,0.8669118173184652
24754-AND,Month-to-Month,28,69.55,0.866113311331767
39623-HAR,Month-to-Month,10,74.6,0.8653969129279075
97427-JAM,Month-to-Month,2,20.35,0.8648274060709518
31294-KAR,Month-to-Month,33,49.75,0.8647740038800816
16931-BIH,Month-to-Month,23,19.3,0.864409326905901
58577-ODI,Month-to-Month,36,45.85,0.8640754236413225
35075-PUN,Month-to-Month,9,55.05,0.8640682437102326
83196-UTT,Month-to-Month,10,80.55,0.8638060167214485
66766-UTT,Month-to-Month,10,74.95,0.8636137280147699
87077-TAM,Month-to-Month,21,69.0,0.8607959960940658
65987-TAM,Month-to-Month,34,61.15,0.8599909689911593
19837-TAM,Month-to-Month,6,51.4,0.8591555099841169
82718-TAM,Month-to-Month,7,20.7,0.8585212591412922
33773-UTT,Month-to-Month,6,20.6,0.8581989291746656
92228-BIH,Month-to-Month,9,25.15,0.8580891838485559
84508-TAM,Month-to-Month,28,21.1,0.8558736768160138
29626-WES,Month-to-Month,22,50.15,0.8557130510374638
28281-KAR,Month-to-Month,32,80.35,0.8556207359705392
86315-TAM,Month-to-Month,13,20.95,0.8554862438814629
26500-GUJ,Month-to-Month,19,62.15,0.8554854389620251
13666-UTT,Month-to-Month,16,95.4,0.8539744798716621
28266-JAM,Month-to-Month,1,25.35,0.851892346049313
66749-KER,Month-to-Month,5,20.75,0.8495801232555648
62968-UTT,Month-to-Month,3,59.55,0.8492643037969225
29525-TAM,Month-to-Month,3,25.0,0.8488830805520295
42358-BIH,Month-to-Month,35,54.2,0.8477980855454887
89382-ASS,Month-to-Month,29,29.75,0.8441351324755121
73108-GUJ,Month-to-Month,12,20.25,0.8415501165166553
92494-MAH,Month-to-Month,19,91.15,0.8405604072982539
74979-MAD,Month-to-Month,14,29.05,0.8400705177964971
36628-GUJ,Month-to-Month,1,80.15,0.8398972988762293
54172-RAJ,Month-to-Month,9,56.55,0.8391588116671242
71261-TAM,Month-to-Month,27,70.45,0.8386136961621907
86703-WES,Month-to-Month,35,20.65,0.836291107832615
66612-KAR,Month-to-Month,18,19.95,0.835555357681862
84789-PUN,Month-to-Month,19,107.95,0.8342155856952614
43297-MAH,Month-to-Month,18,50.2,0.8293517538985182
12490-TEL,Month-to-Month,6,74.75,0.8292850662537365
51214-MAH,Month-to-Month,22,73.6,0.8285173847801995
74804-WES,Month-to-Month,5,69.6,0.8256019907202428
98301-WES,Month-to-Month,27,53.45,0.8250260089685504
84720-GUJ,Month-to-Month,6,19.2,0.8248496120335729
88107-JAM,Month-to-Month,34,30.55,0.82364752453507
13123-BIH,Month-to-Month,18,100.2,0.8234759646529207
32586-UTT,Month-to-Month,10,0.0,0.8232307060897311
21642-TEL,Month-to-Month,29,54.5,0.8225456031081396
27561-UTT,Month-to-Month,10,20.25,0.8225429892430299
89512-JAM,Month-to-Month,34,60.95,0.8202256772688508
55757-KAR,Month-to-Month,9,55.8,0.8192406913094837
88111-MAH,Month-to-Month,32,83.4,0.8186289534535209
82129-JHA,Month-to-Month,8,58.7,0.8180808818545263
89804-MAH,Month-to-Month,31,19.4,0.8175862054663771
82473-AND,Month-to-Month,1,29.8,0.8139402522194188
82965-TEL,Month-to-Month,20,44.75,0.8108609634021019
45213-AND,Month-to-Month,5,61.2,0.8095475523482922
51961-BIH,Month-to-Month,25,50.95,0.8090113873443404
44655-TEL,Month-to-Month,25,50.5,0.8082845833604153
16764-WES,Month-to-Month,13,20.8,0.8080214031272818
74378-KAR,Month-to-Month,30,54.45,0.8076096658055256
84687-PUN,Month-to-Month,18,24.7,0.8013128937022365
83113-GUJ,Month-to-Month,30,29.15,0.7999231813256348
74651-WES,Month-to-Month,23,29.2,0.7994529120503016
78220-TAM,Month-to-Month,10,89.85,0.7991448026717993
22782-ODI,Month-to-Month,28,19.3,0.7979004772310527
86891-GUJ,Month-to-Month,5,20.05,0.797601148697875
55831-TAM,Month-to-Month,13,19.95,0.7968223231017494
92134-BIH,Month-to-Month,11,34.8,0.7933977135780829
66164-CHH,Month-to-Month,20,19.4,0.7883661599229346
78918-BIH,Month-to-Month,11,86.05,0.7883312347320831
34713-KER,Month-to-Month,29,90.75,0.7870863075208259
95735-PUN,Month-to-Month,21,19.25,0.7843367177822561
19998-AND,Month-to-Month,2,85.7,0.7837740537984804
22137-KAR,One Year,28,19.85,0.782700191519492
47624-TAM,Month-to-Month,29,0.0,0.7823947091492632
46792-MAD,Month-to-Month,25,35.9,0.7760612841742115
95991-MAD,Month-to-Month,32,50.25,0.771658670665602
46004-TAM,Month-to-Month,6,0.0,0.7692991251220505
19811-MAH,Month-to-Month,7,89.85,0.7681651127358592
79700-KER,Month-to-Month,30,107.95,0.7647514717496172
49201-GUJ,Month-to-Month,30,29.9,0.7647301646974602
47957-GUJ,Month-to-Month,2,20.45,0.760221167757865
46619-RAJ,One Year,14,20.4,0.7547420157044464
62359-AND,Month-to-Month,24,33.6,0.7543686838168874
57457-MAD,Month-to-Month,34,20.0,0.7508635472756122
34101-TAM,Month-to-Month,35,20.2,0.7492842310880616
25048-TEL,Month-to-Month,9,24.0,0.745274848154862
17154-HAR,One Year,4,18.8,0.744276861990524
18829-TAM,Month-to-Month,31,18.8,0.7430479588865981
21956-JHA,Month-to-Month,8,82.3,0.7361212566600248
21288-MAH,Month-to-Month,34,60.25,0.7319449252745535
64095-BIH,One Year,17,0.0,0.7306450130865014
53295-WES,Month-to-Month,33,25.7,0.7292451810434334
95748-UTT,Month-to-Month,4,25.4,0.727802400452326
63464-AND,Month-to-Month,5,60.65,0.7257229502014627
43604-TAM,One Year,7,19.65,0.725038990538473
65580-UTT,Month-to-Month,2,19.1,0.7167749274393812
78021-UTT,Month-to-Month,35,25.0,0.7164038580149025
57256-BIH,Month-to-Month,7,19.85,0.7142098986140265
82559-CHH,Month-to-Month,33,64.2,0.7123831830211379
83939-AND,Month-to-Month,27,20.1,0.7092534048309465
71197-PUN,Month-to-Month,33,77.4,0.7082630120294061
53186-HAR,One Year,2,45.25,0.7075076744854456
79168-UTT,One Year,10,44.3,0.6949168268625266
41500-KAR,Month-to-Month,31,19.85,0.6910419641009459
36323-UTT,One Year,11,20.5,0.6865097488162498
45978-GUJ,Month-to-Month,19,20.75,0.6843278374946824
61203-PUN,Month-to-Month,11,64.6,0.6815026870499344
62535-AND,Month-to-Month,22,70.7,0.6742330447441947
49265-BIH,Month-to-Month,4,55.9,0.6737544212943208
48051-GUJ,One Year,36,25.85,0.6568351559151748
72971-TAM,One Year,8,74.7,0.6505945118262285
93520-GUJ,One Year,19,72.1,0.649097955219229
21165-DEL,Month-to-Month,32,19.95,0.648572340125688
44208-AND,Month-to-Month,20,69.15,0.6391326336857862
19041-AND,Month-to-Month,21,35.1,0.6385724177425061
75058-TEL,One Year,14,74.1,0.6359311749956374
99515-ASS,Month-to-Month,11,65.25,0.6306485380458232
71752-TEL,Month-to-Month,2,19.9,0.6263784328084874
45561-MAH,Month-to-Month,7,20.0,0.6242268738690013
84535-TAM,Month-to-Month,36,20.4,0.6203151766915981
85428-HAR,Month-to-Month,18,20.1,0.618394391279062
23256-HAR,Month-to-Month,31,19.85,0.6092288823621225
63883-KAR,Month-to-Month,26,20.45,0.6091472906107904
92398-AND,Month-to-Month,12,20.0,0.6072961963127281
26448-BIH,Month-to-Month,21,75.3,0.6045570331156608
25733-HAR,One Year,33,95.5,0.6007205911278783
19747-WES,Month-to-Month,19,64.5,0.5932108468622562
93667-KER,One Year,33,20.55,0.591714658516759
88728-UTT,One Year,9,21.2,0.5900774224104094
44693-UTT,One Year,27,20.3,0.5781937717893851
79342-KAR,Month-to-Month,22,64.4,0.5771949477118619
26567-UTT,Two Year,35,20.35,0.5568984555762484
31412-HAR,Two Year,29,19.2,0.5446289345208642
31918-KAR,Month-to-Month,34,41.35,0.53797193550081
39764-UTT,Month-to-Month,14,19.35,0.5136624118041873
87704-GUJ,Two Year,24,20.45,0.5101486482296808
48307-WES,One Year,15,69.95,0.5056072051634143
65405-MAH,One Year,18,20.25,0.5046076999842556
62842-HAR,Month-to-Month,25,19.3,0.4925027966659273
94978-PUN,One Year,8,19.45,0.4888121953428241
51657-TAM,Month-to-Month,16,20.85,0.4873975133991476
35606-BIH,One Year,18,75.05,0.4740790298846942
83440-GUJ,Month-to-Month,14,20.0,0.47347575272921677
76233-BIH,Two Year,9,70.6,0.47291496547782214
33565-UTT,Two Year,29,74.3,0.4588376636943897
52403-WES,Two Year,6,71.25,0.44673266746327034
67994-MAD,Two Year,33,46.3,0.44560277801076825
85506-MAH,One Year,10,20.2,0.4436659251372496
72275-GUJ,One Year,4,19.95,0.4368159531156341
41348-BIH,Two Year,13,81.5,0.4365310391937129
83610-BIH,Two Year,11,74.2,0.4340643493111375
57012-TAM,Two Year,29,45.2,0.43247508474703467
23148-CHH,Two Year,9,44.0,0.4309569475269506
83050-PUN,One Year,20,20.45,0.4300725166180433
98334-MAD,Month-to-Month,20,20.2,0.4204907836201718
36339-UTT,Month-to-Month,7,19.9,0.41705468506975074
53612-UTT,Month-to-Month,34,20.85,0.4098604132569348
94609-HAR,Month-to-Month,11,19.65,0.4049667062591802
26139-KAR,Two Year,22,49.95,0.4040839888561321
75641-PUN,Two Year,28,83.8,0.3994291798377589
46571-HAR,Two Year,33,84.05,0.39162356092272543
62497-BIH,Month-to-Month,2,20.75,0.3689983403206898
42089-MAH,Month-to-Month,34,20.7,0.3660541034725207
49273-PUD,Two Year,15,59.5,0.3610854738801169
33472-HAR,Two Year,16,73.85,0.3519865942929556
33910-TEL,Month-to-Month,30,19.55,0.3445604505264408
35995-PUN,Month-to-Month,23,20.0,0.33712048895699503
34169-RAJ,Month-to-Month,30,24.85,0.31410427256945045
91505-DEL,Two Year,36,94.85,0.3032689841722117
71183-TAM,One Year,33,19.6,0.2980382077978153
77911-TEL,Month-to-Month,8,23.6,0.29712961268087684
32080-WES,Month-to-Month,12,19.6,0.2687343178829102
99144-UTT,Month-to-Month,20,19.65,0.25886480170881176
42029-TAM,Month-to-Month,30,20.5,0.23679534266517369
28317-MAD,Two Year,6,19.1,0.2176918687018545
46479-GUJ,Two Year,13,71.1,0.21290696631924397
95053-UTT,Month-to-Month,2,24.6,0.20884741941213358
38779-HAR,Month-to-Month,19,20.05,0.2016952045140938
27880-AND,Two Year,21,26.4,0.07010048114405244
