Customer_ID,Contract,Tenure_in_Months,Monthly_Charge,Total_Revenue,Churn_Risk_Score
24168-UTT,Month-to-Month,20,74.85,825.65,0.7156715141417729
14750-KAR,Month-to-Month,31,87.1,1025.68,0.7153717104685385
47946-MAH,Month-to-Month,25,75.75,1175.8,0.714584948918597
88664-KAR,Month-to-Month,34,80.7,556.15,0.7144282460602468
16784-HAR,Month-to-Month,16,89.15,1544.31,0.7139637673375632
94678-MAH,Month-to-Month,33,100.5,3267.11,0.7136732319464125
12728-AND,Month-to-Month,13,80.3,479.16,0.7130273924572129
81640-MAH,Month-to-Month,23,89.55,1422.07,0.7130139434896703
85763-TEL,Month-to-Month,13,95.1,2407.9,0.7126478353125736
15513-PUN,Month-to-Month,28,88.05,1002.99,0.7125723924058024
72817-AND,Month-to-Month,21,79.0,1039.96,0.7125180428866063
73108-JAM,Month-to-Month,13,86.25,1696.9,0.7107164238421882
63565-JAM,Month-to-Month,10,75.85,720.4,0.7107072110914233
76490-BIH,Month-to-Month,32,103.95,4396.24,0.7095314118440599
88971-HAR,Month-to-Month,15,101.5,1239.31,0.7082488215506922
88776-MAH,Month-to-Month,13,100.4,988.14,0.707173876234003
63182-TEL,Month-to-Month,34,89.1,2482.83,0.7064889009111047
54293-HAR,Month-to-Month,4,82.75,566.45,0.706469376474303
34622-WES,Month-to-Month,24,74.95,2305.36,0.7059088414460413
94807-TAM,Month-to-Month,18,80.9,1715.88,0.7054743442956218
14658-RAJ,Month-to-Month,24,83.55,1713.52,0.704876143853163
93936-UTT,Month-to-Month,24,80.0,943.96,0.7042736525034986
15579-WES,Month-to-Month,27,73.8,770.95,0.7034752601080174
18063-TEL,Month-to-Month,18,92.9,1726.65,0.7023279301771109
87378-KER,Month-to-Month,36,99.3,962.04,0.702170507356856
16549-TEL,Month-to-Month,25,84.1,2767.5,0.702024261915829
18064-MAH,Month-to-Month,10,96.2,961.21,0.7010150054431471
59258-TEL,Month-to-Month,24,74.15,1550.23,0.7007209900717011
58816-TAM,Month-to-Month,20,90.1,1176.8,0.7005841680309133
51798-PUN,Month-to-Month,18,89.75,2431.26,0.6995274730344155
76587-WES,Month-to-Month,18,100.05,4456.57,0.6974436949954986
19520-GUJ,Month-to-Month,19,75.5,2012.55,0.6952924638073072
48033-MAH,Month-to-Month,20,104.45,3284.68,0.6943447869262448
63813-ODI,Month-to-Month,19,78.0,1370.12,0.6938862143800917
34591-RAJ,Month-to-Month,15,104.15,3465.61,0.6933499231030463
71922-HAR,Month-to-Month,3,74.6,559.14,0.6933255699304871
57622-TAM,Month-to-Month,34,69.55,584.0,0.6930637276432842
88802-RAJ,Month-to-Month,6,75.6,1668.29,0.6929136477506715
49504-UTT,Month-to-Month,36,100.6,4725.55,0.6922908490653807
28976-PUN,Month-to-Month,18,98.85,3858.88,0.6915362046949012
41515-TEL,Month-to-Month,16,90.6,1443.48,0.6914476259236053
77462-KAR,Month-to-Month,33,94.75,2306.96,0.6913090347209927
26601-UTT,Month-to-Month,25,82.65,1822.98,0.6898122247859881
12520-HAR,Month-to-Month,27,90.05,2029.19,0.6897539782188666
49908-KER,Month-to-Month,2,84.3,1578.58,0.6894993984767339
89942-UTT,Month-to-Month,26,75.4,1602.68,0.6884741431275753
37396-DEL,Month-to-Month,32,94.05,766.49,0.6881029170260868
99897-TAM,Month-to-Month,30,80.6,3192.47,0.6874304794843638
32845-KAR,Month-to-Month,21,90.25,822.79,0.6871188292959562
29700-MAD,Month-to-Month,7,92.6,1736.44,0.6853027168523027
76330-HAR,Month-to-Month,33,78.75,1850.57,0.6842243629966863
24441-UTT,Month-to-Month,34,98.7,2581.45,0.6837668819643896
39193-TAM,Month-to-Month,21,83.85,3035.71,0.6834391004039504
23361-UTT,Month-to-Month,28,80.55,944.75,0.6827452592323001
76472-TAM,Month-to-Month,22,74.7,1694.22,0.6819927229956696
65153-HAR,Month-to-Month,4,76.85,1045.24,0.6810412081944509
97820-ODI,Month-to-Month,7,100.65,3036.18,0.6804463901038029
22573-TAM,Month-to-Month,35,90.8,2221.56,0.6796608259649872
66088-GUJ,Month-to-Month,4,69.15,636.49,0.679547884543934
39167-TAM,Month-to-Month,15,20.5,92.12,0.6782220591057985
43627-AND,Month-to-Month,34,84.75,2558.81,0.6775057898998139
83118-MAH,Month-to-Month,3,102.55,1914.37,0.675699105415509
45799-GUJ,Month-to-Month,24,88.75,2135.73,0.6733803503232816
34444-PUN,Month-to-Month,31,100.0,3867.41,0.6731985285737129
83690-AND,Month-to-Month,6,84.9,4082.25,0.6712354489077142
27064-TAM,Month-to-Month,35,89.25,702.33,0.6699163437124266
52140-TAM,Month-to-Month,27,0.0,682.64,0.6694619319054793
33023-GUJ,Month-to-Month,17,76.45,1375.99,0.6693836718890396
76566-UTT,Month-to-Month,20,75.75,2611.02,0.6686768396332032
92753-JHA,Month-to-Month,16,85.65,1046.17,0.6673231651406946
38815-JAM,Month-to-Month,16,95.55,4891.98,0.6671184985252789
15175-GUJ,Month-to-Month,27,96.8,1945.97,0.6664786723873025
83137-WES,Month-to-Month,8,73.85,567.44,0.6657381796402272
63298-MAH,Month-to-Month,32,44.8,273.25,0.6643789635512076
11474-TEL,Month-to-Month,18,75.6,851.54,0.664311225678382
65509-DEL,Month-to-Month,25,103.45,1958.8,0.6624983352437661
53964-PUN,Month-to-Month,18,95.0,3655.89,0.6623726169957309
52389-TAM,Month-to-Month,32,84.85,2443.92,0.6619707848997235
52785-HAR,Month-to-Month,30,99.05,4662.0,0.661856560664037
58919-GUJ,Month-to-Month,28,99.7,1718.55,0.6606979392701888
97033-BIH,Month-to-Month,9,101.5,4358.25,0.6606890213005316
29786-WES,Month-to-Month,1,99.3,4435.7,0.658007527320411
44630-RAJ,Month-to-Month,3,78.55,761.08,0.6571153565297042
94311-JAM,Month-to-Month,21,90.65,494.23,0.6567732723315606
66926-KAR,Month-to-Month,33,100.15,1896.05,0.6562288504212684
18801-UTT,Month-to-Month,17,79.8,1152.71,0.6559265784232392
67448-BIH,Month-to-Month,28,75.25,1260.34,0.6546418662500809
37350-HAR,Month-to-Month,18,80.15,345.85,0.6537814399298113
62096-KAR,Month-to-Month,36,96.5,1734.7,0.6533503647482011
67310-TAM,Month-to-Month,5,78.75,600.9,0.6529370200074216
76281-TAM,Month-to-Month,31,101.35,4663.86,0.6517566287532497
58156-KAR,Month-to-Month,23,93.0,3413.89,0.6511762954644329
74260-HAR,Month-to-Month,1,100.45,4614.51,0.6509512113388578
43303-DEL,Month-to-Month,9,87.3,2203.5,0.6508360754499162
12236-BIH,Month-to-Month,11,85.3,659.15,0.6497976535731941
75305-KAR,Month-to-Month,28,84.8,1225.02,0.6493570070665763
48955-TEL,Month-to-Month,12,72.9,1020.08,0.649168905826246
91617-AND,Month-to-Month,24,44.4,263.05,0.6486311800490283
48291-UTT,Month-to-Month,36,25.15,99.95,0.6474031981521831
56436-UTT,Month-to-Month,16,87.0,2921.61,0.645484042217142
19567-MAD,Month-to-Month,30,69.55,433.82,0.6449782960480219
16774-MAH,Month-to-Month,8,80.45,3578.27,0.6437538417128982
57012-MAH,Month-to-Month,33,85.3,1629.35,0.6431776022157942
66486-TAM,Month-to-Month,30,85.75,3195.6,0.6419518747619323
86818-MAH,Month-to-Month,22,83.75,2652.88,0.6399654786301571
96107-KAR,Month-to-Month,32,95.25,3373.35,0.6389194565507023
64957-KAR,Month-to-Month,4,84.9,2744.37,0.637310514942316
33575-UTT,Month-to-Month,25,85.2,3882.89,0.6364482471362595
34738-KAR,Month-to-Month,31,70.45,1324.51,0.6360320257337558
94887-AND,Month-to-Month,14,25.2,321.05,0.6355210967990459
63457-UTT,Month-to-Month,16,80.7,2729.64,0.6354047328300209
61634-MAD,Month-to-Month,19,94.0,1734.65,0.6353235913625338
19376-TAM,Month-to-Month,13,91.95,3690.81,0.633785940646943
47441-TEL,Month-to-Month,4,86.55,2325.55,0.6327173727031604
24189-BIH,Month-to-Month,36,84.05,3102.05,0.6324480771866962
67551-PUN,Month-to-Month,5,69.05,920.33,0.6320579530407802
99036-KAR,Month-to-Month,11,91.0,1883.35,0.6320177822474593
68369-UTT,Month-to-Month,12,101.25,4735.0,0.6309529445235857
12584-AND,Month-to-Month,13,70.2,1368.5,0.6308700625351837
35014-HAR,Month-to-Month,28,103.5,7622.22,0.6293885572353989
32117-TAM,Month-to-Month,26,84.15,2304.35,0.6288958862921821
31235-MAH,Month-to-Month,1,78.9,430.46,0.6285624659635656
24618-GUJ,Month-to-Month,19,74.75,1298.0,0.6280551149856248
12516-TAM,Month-to-Month,30,101.4,3744.43,0.6265824562090564
13035-KAR,Month-to-Month,33,0.0,1679.81,0.6258763701390647
54432-KAR,Month-to-Month,32,55.9,309.3,0.6258566768058915
82252-TAM,Month-to-Month,5,94.7,4279.3,0.6257105863834758
28973-KAR,Month-to-Month,16,81.2,3433.1,0.6251251305957053
87123-UTT,Month-to-Month,31,76.4,1240.42,0.6242233856077029
68353-PUN,Month-to-Month,19,80.5,2130.97,0.6241616208817141
82678-WES,Month-to-Month,18,91.1,1393.65,0.6235317280703602
11464-WES,Month-to-Month,5,99.85,2514.61,0.6206345408061076
76577-TEL,Month-to-Month,8,91.55,1787.09,0.6201297720971681
99387-DEL,Month-to-Month,19,79.3,2720.5,0.62009400650955
47561-MAH,Month-to-Month,5,77.9,2437.25,0.6191968814804104
37569-KER,Month-to-Month,32,89.15,491.95,0.6186133277997753
36925-TAM,Month-to-Month,21,105.8,3679.8,0.6181340020066874
53821-AND,Month-to-Month,14,76.05,3429.98,0.6181054190358612
12341-HAR,Month-to-Month,29,83.05,2051.42,0.6178236465649855
17723-MAH,Month-to-Month,9,81.85,3189.96,0.6171826097693056
61183-KAR,Month-to-Month,33,78.7,2029.71,0.6170656507420941
95873-GUJ,Month-to-Month,26,0.0,335.47,0.6168084849448331
37470-TEL,Month-to-Month,7,74.2,2468.27,0.6166662103211028
31404-UTT,Month-to-Month,6,88.8,3380.51,0.6165536748624068
91259-AND,Month-to-Month,8,95.65,1999.38,0.616006744003667
48001-GUJ,Month-to-Month,33,107.5,3979.3,0.6153402430081201
64050-UTT,Month-to-Month,4,99.15,2084.92,0.6152657813959467
61862-WES,Month-to-Month,15,93.2,3180.3,0.6149360154028182
76248-MAH,Month-to-Month,14,80.1,512.79,0.6148707601727549
73015-GUJ,Month-to-Month,25,99.8,5196.71,0.6144805048294634
17664-KAR,Month-to-Month,22,73.7,2158.04,0.6133759205809047
36760-GUJ,Month-to-Month,6,85.6,2094.72,0.6133035368458678
33601-UTT,Month-to-Month,34,70.5,964.29,0.613230228142494
81203-UTT,Month-to-Month,5,97.7,4863.16,0.611449532368495
61257-UTT,Month-to-Month,32,75.4,1650.58,0.6113389621373477
25282-RAJ,Month-to-Month,4,97.0,1907.1,0.6102835227036407
92997-UTT,Month-to-Month,1,81.15,3944.1,0.6102034399901184
82483-BIH,Month-to-Month,3,104.4,4393.48,0.6099888885804551
55639-GUJ,Month-to-Month,7,92.15,4620.9,0.6092324168729203
85293-UTT,Month-to-Month,23,79.15,1262.94,0.6087406484188552
78013-UTT,Month-to-Month,6,100.6,7456.79,0.6084520671631528
27514-AND,Month-to-Month,20,85.45,2378.94,0.6081135145383036
54667-TEL,Month-to-Month,33,54.4,487.58,0.6075178252010467
25558-GUJ,Month-to-Month,31,100.55,3188.18,0.6062220834463407
41405-TAM,Month-to-Month,27,80.55,2109.87,0.6058884467699397
87831-PUN,Month-to-Month,12,55.3,322.62,0.6040386749384695
68150-AND,Month-to-Month,15,100.75,2010.84,0.6037230059233277
43566-BIH,Month-to-Month,12,103.6,1839.21,0.6036438598070728
17609-MAD,Month-to-Month,22,85.6,2106.22,0.6032771913336542
69719-TAM,Month-to-Month,16,94.6,3136.59,0.6032413346183196
87395-RAJ,Month-to-Month,3,93.35,4140.08,0.6027087479835388
22660-TEL,Month-to-Month,14,81.9,1473.24,0.6024013058685275
84798-PUN,Month-to-Month,6,80.05,2109.97,0.6003985763964053
44045-KER,Month-to-Month,6,82.85,398.96,0.5994465993000528
94847-WES,Month-to-Month,19,69.8,2410.15,0.5992300912941219
93000-MAD,Month-to-Month,13,74.15,1465.84,0.5986340484954692
39718-KAR,Month-to-Month,36,95.4,4935.08,0.5976368349809774
85923-PUN,Month-to-Month,31,88.95,3130.91,0.5974944920971808
26714-TAM,Month-to-Month,5,63.75,238.32,0.596578448002703
22329-HAR,Month-to-Month,20,34.65,768.45,0.5965365100608143
61760-TAM,Month-to-Month,4,98.55,2496.35,0.595436789318997
83717-AND,Month-to-Month,25,24.3,100.2,0.595247121815708
46848-WES,Month-to-Month,10,70.15,778.4,0.5948751887306342
58686-MAH,Month-to-Month,18,95.4,5014.77,0.5948244744966709
51921-UTT,Month-to-Month,10,56.4,317.89,0.592464779715166
72666-JAM,Month-to-Month,11,50.8,209.82,0.5923099904573322
56425-HAR,Month-to-Month,17,85.05,1535.0,0.5920469004378316
32496-TAM,Month-to-Month,7,100.85,441.01,0.5917618839981337
32454-UTT,Month-to-Month,20,92.95,4854.18,0.591273182226628
16898-UTT,Month-to-Month,2,80.35,2028.39,0.5909959729568683
22994-TEL,Month-to-Month,20,105.2,9724.03,0.5899936237434092
79898-PUN,Month-to-Month,17,0.0,1285.85,0.5896361687005007
28648-DEL,Month-to-Month,14,94.2,2687.05,0.5895414081839722
21711-WES,Month-to-Month,17,92.95,5277.9,0.5886171221611067
29558-MAD,Month-to-Month,31,70.4,4097.95,0.5883006065585682
22189-UTT,Month-to-Month,12,85.45,3258.42,0.5877278516825377
11540-DEL,Month-to-Month,15,104.1,7423.58,0.5876254499553037
96552-PUN,Month-to-Month,33,98.85,4678.38,0.5875552892128825
27828-JHA,Month-to-Month,24,100.4,3454.05,0.5865238242711852
56878-HAR,Month-to-Month,23,79.55,1221.41,0.5851640965072366
51260-MAD,Month-to-Month,3,103.05,5599.97,0.5851430991108305
92923-JHA,Month-to-Month,27,90.0,2749.29,0.5850321306685282
14925-UTT,Month-to-Month,33,106.35,5532.48,0.5831934002835769
79991-HAR,Month-to-Month,14,100.5,6500.15,0.5829331767119117
21218-PUN,Month-to-Month,11,102.4,7562.3,0.5820480204638756
58795-UTT,Month-to-Month,22,75.1,1821.17,0.5818228586277617
24462-WES,Month-to-Month,1,99.8,8054.55,0.5814632250339916
46116-MAH,Month-to-Month,23,74.6,2725.25,0.5809857650582544
23445-MAH,Month-to-Month,31,25.05,189.95,0.5790997678996093
79918-MAH,Month-to-Month,20,70.05,698.59,0.5788546434515852
36981-GUJ,Month-to-Month,35,95.7,7326.75,0.5785413185688161
13079-JAM,Month-to-Month,8,88.4,1107.65,0.5784223246053993
27775-GUJ,Month-to-Month,16,75.3,2360.55,0.5783702541936165
53253-GUJ,Month-to-Month,36,86.1,3706.87,0.5779327570006395
74078-GUJ,Month-to-Month,1,85.3,1226.82,0.5775554270098332
72746-AND,Month-to-Month,15,90.95,2206.86,0.5767007360171453
42409-AND,Month-to-Month,34,74.35,545.29,0.5764586726578206
22701-RAJ,Month-to-Month,3,101.3,1930.73,0.5760668338892194
81612-TAM,Month-to-Month,11,95.15,5050.96,0.5758501871688744
84345-KER,Month-to-Month,4,69.9,714.23,0.5748716753542101
15488-RAJ,Month-to-Month,10,42.4,146.4,0.5746446113050714
23402-KAR,Month-to-Month,27,30.5,118.4,0.5741170501221737
83319-KAR,Month-to-Month,26,94.5,4402.72,0.573975397827933
32034-UTT,Month-to-Month,4,100.45,4211.6,0.5736935847524524
25583-PUN,Month-to-Month,15,69.8,1835.81,0.5733441859111985
73931-ODI,Month-to-Month,16,101.15,4877.06,0.5732023124308802
55194-AND,Month-to-Month,34,89.1,2388.42,0.5731989971665112
94397-MAH,Month-to-Month,2,81.3,3061.64,0.5730568551681182
39670-JAM,Month-to-Month,16,96.1,4454.88,0.5716423862520659
32553-TAM,Month-to-Month,1,87.2,4068.68,0.5710033807853477
28520-ODI,Month-to-Month,16,98.65,3499.0,0.5707788812976937
54302-MAH,Month-to-Month,29,86.05,2129.91,0.5705713534758645
81845-AND,Month-to-Month,15,98.35,6230.82,0.5701886881253557
31655-TAM,Month-to-Month,18,40.75,379.4,0.5700907982922
98998-BIH,Month-to-Month,3,76.0,2418.54,0.5686197852296154
47029-ODI,Month-to-Month,2,75.35,1565.9,0.5675649595697329
89357-ODI,Month-to-Month,14,95.7,1600.65,0.5674256829230241
42100-TEL,Month-to-Month,7,24.95,190.25,0.566590062022807
29158-ODI,Month-to-Month,29,79.3,2993.4,0.5660023670473288
62343-TEL,Month-to-Month,29,80.05,1135.96,0.5659145084854148
35538-TAM,Month-to-Month,11,101.75,2031.2,0.5657212097313643
59266-MAH,Month-to-Month,6,89.85,3701.06,0.5654398003154786
79919-PUN,Month-to-Month,18,65.6,290.62,0.5653756763725614
77464-TAM,Month-to-Month,7,82.05,2875.9,0.5652585228255977
94907-HAR,Month-to-Month,1,84.6,1427.9,0.5642899040375844
21258-KAR,Month-to-Month,31,84.35,1395.95,0.5640829276223531
88839-PUD,Month-to-Month,9,87.8,3596.73,0.5634287484964049
82709-GUJ,Month-to-Month,29,78.5,594.43,0.5631985697382875
67672-RAJ,Month-to-Month,13,105.35,4492.65,0.56288299507464
58749-MAD,Month-to-Month,9,80.4,4713.53,0.5625889741421644
68532-MAD,Month-to-Month,12,50.3,395.66,0.5622884263941249
25220-DEL,Month-to-Month,3,75.3,1639.16,0.562197692153082
52425-WES,Month-to-Month,35,81.15,1143.51,0.5609109884424225
29355-WES,Month-to-Month,1,85.35,3696.96,0.5608541669630954
71415-KER,Month-to-Month,23,100.7,1959.02,0.5585717423961403
13203-RAJ,Month-to-Month,20,95.05,1774.31,0.5581553557887121
97045-UTT,Month-to-Month,27,29.05,129.6,0.5574145580762516
72117-ODI,Month-to-Month,22,94.55,5796.31,0.5572930828979716
81157-AND,Month-to-Month,21,85.95,2335.87,0.5557524603892183
96875-WES,Month-to-Month,17,68.65,2135.59,0.5557313313618355
83658-RAJ,Month-to-Month,12,84.6,2327.3,0.5544827906900455
88047-KAR,Month-to-Month,19,80.55,1795.78,0.5544807654550649
73077-PUN,Month-to-Month,4,86.0,1832.13,0.5539763691423261
97974-AND,Month-to-Month,17,101.35,7098.42,0.5538073338547711
68773-MAD,Month-to-Month,19,75.0,2331.42,0.5530661968348906
27350-GUJ,Month-to-Month,13,95.95,2271.58,0.552571701711176
96678-TEL,Month-to-Month,8,24.15,852.5,0.5511540282682922
77463-GUJ,Month-to-Month,20,91.05,4385.1,0.550110533156166
78312-MAH,Month-to-Month,27,106.15,7010.05,0.550079245384894
95287-TAM,Month-to-Month,28,104.35,7136.9,0.5497022709141678
35391-UTT,Month-to-Month,5,70.7,888.84,0.5495264633992024
49597-KAR,Month-to-Month,14,90.05,3778.7,0.5493615531199583
73218-TAM,Month-to-Month,9,88.75,6301.5,0.548493893767528
33836-UTT,Month-to-Month,30,25.65,440.2,0.5479425974082285
24632-TAM,Month-to-Month,14,102.65,5419.35,0.5474219396012585
84987-BIH,Month-to-Month,13,90.7,2289.55,0.5471813624361194
87644-JAM,Month-to-Month,16,25.05,125.5,0.5468578951093346
97402-PUN,Month-to-Month,8,55.0,565.82,0.5463319453128266
44056-AND,Month-to-Month,4,73.8,4891.07,0.5457403399683171
98151-HAR,Month-to-Month,16,92.55,5221.07,0.5456155353431633
79328-BIH,Month-to-Month,3,85.6,7300.16,0.5453432442184787
71598-TAM,Month-to-Month,20,45.45,452.47,0.544897725960774
31158-GUJ,Month-to-Month,24,84.25,2374.95,0.5447816065718463
46048-HAR,Month-to-Month,2,73.25,1836.23,0.5428235622957129
81949-HAR,Month-to-Month,3,95.5,2690.4,0.5424089593238122
35911-MAD,Month-to-Month,34,56.3,835.89,0.5420681543135564
74371-ODI,Month-to-Month,14,79.0,3158.59,0.5412319904299085
32072-PUN,Month-to-Month,30,70.55,1551.95,0.541220218996897
23786-AND,Month-to-Month,11,51.35,348.1,0.5411558662941993
87241-TAM,Month-to-Month,10,73.15,3069.76,0.5402590382252342
24525-HAR,Month-to-Month,30,89.1,2599.28,0.5401930199138325
47093-BIH,Month-to-Month,12,95.15,3220.95,0.5397716317638722
81623-ODI,Month-to-Month,35,78.15,1145.45,0.539333216380349
75748-TAM,Month-to-Month,17,64.9,865.26,0.5392336926622199
98676-MAD,Month-to-Month,3,98.6,6196.49,0.5392327944164044
81745-BIH,Month-to-Month,22,70.55,3010.85,0.5385871332057701
34133-BIH,Month-to-Month,12,25.05,852.7,0.5385670620966498
11241-MAD,Month-to-Month,11,105.1,3730.68,0.5384063758004264
78614-UTT,Month-to-Month,3,29.25,226.95,0.5372324836076947
19020-KER,Month-to-Month,20,48.65,302.9,0.5371161393434356
21986-WES,Month-to-Month,24,89.4,2481.55,0.5367936196675128
67718-TAM,Month-to-Month,1,86.25,1187.56,0.5366641579615882
14528-TAM,Month-to-Month,1,76.1,3134.35,0.5358232443038579
62686-HAR,Month-to-Month,21,84.5,5239.5,0.5356651928730998
67053-GUJ,Month-to-Month,11,56.75,383.91,0.5351693517525014
56949-MAH,Month-to-Month,4,90.65,3542.68,0.5348966374027296
79465-HAR,Month-to-Month,5,89.55,2693.03,0.5347800368382946
27906-UTT,Month-to-Month,25,79.15,4147.58,0.534065519273059
63091-WES,Month-to-Month,16,55.2,250.61,0.5330717368012448
18349-RAJ,Month-to-Month,2,70.15,1217.86,0.5329395959064659
38411-AND,Month-to-Month,4,95.9,7840.76,0.5325714332233293
88844-JAM,Month-to-Month,10,75.35,4006.78,0.5324603703623894
35604-ASS,Month-to-Month,34,78.85,2317.95,0.5324206979139596
42520-PUN,Month-to-Month,2,50.55,323.93,0.5323215235136282
65623-AND,Month-to-Month,26,92.85,8071.07,0.5313812646936004
75802-ODI,Month-to-Month,17,31.1,419.7,0.5295488741047891
39549-KAR,Month-to-Month,28,73.1,4636.05,0.5284603216623848
21592-KAR,Month-to-Month,36,90.15,2929.38,0.5282269868767067
63087-PUN,Month-to-Month,26,103.85,2548.69,0.5275674534199987
68494-MAH,Month-to-Month,27,79.95,2065.55,0.5264936163469142
93845-MAH,Month-to-Month,7,84.75,1819.55,0.5263177011821119
78650-UTT,Month-to-Month,2,88.85,1907.07,0.5260412275348535
75259-AND,Month-to-Month,14,73.75,1347.43,0.5253967878770041
48770-BIH,Month-to-Month,26,25.25,186.3,0.5249999362467637
65943-PUN,Month-to-Month,21,79.65,3007.02,0.5248608546530973
92945-TEL,Month-to-Month,21,100.3,5301.93,0.523683917638604
91967-CHH,Month-to-Month,22,24.6,190.1,0.5234127429517605
56365-MAH,Month-to-Month,32,91.65,5095.75,0.5233021075775766
27627-UTT,Month-to-Month,8,96.55,2473.05,0.5232709739154547
78891-BIH,Month-to-Month,15,89.2,3453.34,0.5231616148654753
27893-PUN,Month-to-Month,27,81.0,1911.5,0.5229481568249187
54025-UTT,Month-to-Month,23,89.05,2018.25,0.5200873787870628
72278-UTT,Month-to-Month,21,80.0,1467.32,0.5187486558283864
35458-MAD,Month-to-Month,13,95.7,2433.6,0.5186132039089141
81060-PUN,Month-to-Month,14,106.4,4710.28,0.5180329083029719
